event_date,year,event_type,sub_event_type,actor1,actor2,interaction,admin1,admin2,location,latitude,longitude,fatalities,civilian_targeting,notes,month
2024-08-25,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Panjgur,Panjgur,26.9817,64.1166,1,,"On 25 August 2024, BLA militants attacked military forces at Rukhshan check point in Panjgur city (Panjgur, Balochistan). Sounds of firing and several explosions were also heard. Casualties unknown. BLA carried out a series of attacks targeting personnel, infrastructure, and civilians between August 25 - August 26 coinciding with the death anniversary of a Baloch leader as part of 'Operation Hereof', leading to the deaths of at least 74 persons, including 21 militants and 14 security personnel as security forces responded to the attacks. Of these, 55 fatalities have been coded to specific events. 19 remaining fatalities, that occurred during clashes between security forces and militants, split across 17 events. 1 fatality coded to this event.",2024-08
2024-08-24,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Pishin,Pishin,30.5802,66.9961,3,,"On 24 August 2024, militants (coded as Baloch Separatists) detonated a motorcycle-laden IED in a busy market near the Pishin police headquarters in Pishin district (Pishin, Balochistan). Three persons, including a woman and two children were killed, and seventeen others, including seven police personnel, were wounded in the explosion. According to police sources, two vehicles and several motorcycles were also damaged. 3 fatalities and 17 injured.",2024-08
2024-08-24,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Nushki,Nushki,29.5521,66.0228,1,Civilian targeting,"On 24 August 2024, BLA militants opened fire and killed a man, belonging to the Sindhi ethnic group, in Nushki Bazaar Mil Adda area in Nushki city (Nushki, Balochistan). The man belonging to Sindh worked in Nushki in the Hat business. BLA claim the individual worked in the area as a military informant. 1 fatality.",2024-08
2024-08-23,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kalat,Johan,29.3289,66.9716,7,,"On 23 August 2024, BLA militants claim to have attacked military forces and SSG commandos conducting an operation in the Johan area (Kalat, Balochistan). The BLA claim that seven SSG commandos were killed and eleven others were wounded in the attack. Local sources confirm sighting several military ambulances and wounded personnel in the area. At least 7 fatalities and 11 injured.",2024-08
2024-08-21,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BRG: Baloch Republican Guard,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Nasirabad,Naseerabad,28.6463,68.1562,0,Civilian targeting,"On 21 August 2024, BRG militants detonated explosives and damaged a 24-inch Sui Gas Pipeline leading to the Uch Power Plant in Rabi area of Naseerabad district (Nasirabad, Balochistan). The explosion resulted in the suspension of the gas supply. There were no casualties.",2024-08
2024-08-20,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Nushki,Nushki,29.5521,66.0228,0,,"On 20 August 2024, BLA militants detonated a roadside explosive targeting an FC vehicle passing by in Qadirabad area of Nushki district (Nushki, Balochistan). Two pedestrian were wounded and the vehicle was severely damaged in the explosion. While no FC personnel were wounded. A large number of personnel later surrounded the area. 2 injured and no fatalities.",2024-08
2024-08-20,2024,Explosions/Remote violence,Remote explosive/landmine/IED,UBA: United Baloch Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kalat,Kalat,29.0266,66.5936,5,Civilian targeting,"On 20 August 2024, UBA militants claim to have detonated a remote explosive targeting an oil and gas exploration company in the suburb of Ghazar area in Kalat district (Kalat, Balochistan). UBA claims that the explosion resulted in the deaths of five company employees and the destruction of their vehicle. 5 fatalities. Fatalities uncorroborated.",2024-08
2024-08-20,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Panjgur,Chitkan,26.9782,64.0855,2,,"On 20 August 2024, militants (coded as Baloch Separatists) and military forces clashed in Chitkan area (Panjgur, Balochistan). According to local sources, sounds of firing and 12-14 heavy explosions were heard while two unidentified persons were killed in the clash. 2 fatalities.",2024-08
2024-08-17,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,0,Civilian targeting,"On 17 August 2024, BLA militants on motorcycle hurled a hand grenade targeting a police vehicle near Balochistan University on Sariab Road in Quetta city (Quetta, Balochistan). Three civilians were wounded, while police personnel remained unharmed in the explosion. 3 injured and no fatalities.",2024-08
2024-08-16,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Nasirabad,Naseerabad,28.6463,68.1562,0,,"On 16 August 2024, militants (coded as Baloch Separatists) hurled a hand grenade toward Mach Police Station in Naseerabad town (Nasirabad, Balochistan). There were no casualties.",2024-08
2024-08-16,2024,Explosions/Remote violence,Grenade,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Turbat,26.0001,63.0527,0,,"On 16 August 2024, BLF militants hurled a hand grenade targeting a military check post in Sangani Sar area in the vicinity of Turbat city (Kech, Balochistan). BLF claim one military personnel at the post was wounded in the explosion. 1 injured and no fatalities.",2024-08
2024-08-15,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Shapok,26.0382,63.3722,2,,"On 15 August 2024, intervening night, BLF militants opened fire at a military camp in Barg Hill area of Shapok village (Kech, Balochistan) using heavy weapons. BLF claim two military personnel were killed and three others were wounded. 2 fatalities and 3 injured.",2024-08
2024-08-15,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Turbat,26.0001,63.0527,0,,"On 15 August 2024, militants (coded as Baloch Separatists) opened fire at a military check post and surrounding vehicles at Airport Chowk in Turbat city (Kech, Balochistan). Casualties unknown.",2024-08
2024-08-15,2024,Violence against civilians,Attack,BLF: Baloch Liberation Front,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kech,Turbat,26.0001,63.0527,1,Civilian targeting,"On 15 August 2024, BLF militants shot dead a person claimed to have belonged to a 'death squad' (coded as pro-government militia) in Sangani area in Turbat city (Kech, Balochistan). 1 fatality.",2024-08
2024-08-14,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Awaran,26.4567,65.2314,1,,"On 14 August 2024, BLF militants attacked military check points in Zankoli, Kaur Daat, and Kanira areas of Awaran district (Awaran, Balochistan). BLF claim one military personnel was killed and four others were wounded. 1 fatality and 4 injured.",2024-08
2024-08-14,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),,Rebel group only,Balochistan,Gwadar,Gwadar,25.1216,62.3254,0,,"On 14 August 2024, militants (coded as Baloch Separatists) hurled a grenade Jiwani Kosar Bazar High School in Gwadar area (Gwadar, Balochistan) during 'independence day' celebrations. The attack was part of a series of actions by Baloch militants aimed at discouraging people from celebrating Pakistan's 'Independence Day'. There were no casualties.",2024-08
2024-08-14,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),,Rebel group only,Balochistan,Gwadar,Pasni,25.2837,63.3639,0,,"On 14 August 2024, militants (coded as Baloch Separatists) hurled a grenade at Pasni Babar Shore School in Pasni area (Gwadar, Balochistan) during 'independence day' celebrations. The attack was part of a series of actions by Baloch militants aimed at discouraging people from celebrating Pakistan's 'Independence Day'. There were no casualties.",2024-08
2024-08-14,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Harnai,Harnai,30.1007,67.9382,2,,"On 14 August 2024, militants (coded as Baloch Separatists) opened fire at military personnel in Saipan Tangi area in Harnai district (Harnai, Balochistan). At least two military personnel are suspected to have been killed in the attack. 2 fatalities.",2024-08
2024-08-14,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Zamuran,26.4211,62.8977,1,,"On 14 August 2024, BLA militants attacked a military post in Sabuni area of Zamuran tehsil (Kech, Balochistan) in a sniper attack. Militants also destroyed surveillance cameras installed by military forces at the camp. BLA claim one military personnel was killed and three others were wounded. 1 fatality and 3 injured.",2024-08
2024-08-14,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Hirok,26.0138,63.5908,2,,"On 14 August 2024, BLF militants attacked a military check point in Hirok area (Kech, Balochistan). BLF claim two military personnel were killed and another was wounded. 2 fatalities and 1 injured.",2024-08
2024-08-14,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Hoshab,26.0159,63.8883,3,,"On 14 August 2024, BLF militants attacked a military camp in Hoshab area (Kech, Balochistan) using rockets and other weapons. BLF claim three military personnel were wounded in the attack. 3 injured and no fatalities.",2024-08
2024-08-14,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Kech,Sami,26.0399,63.4131,0,,"On 14 August 2024, BLF militants detonated a remote explosive near an FC camp in Soro area in Sami area (Kech, Balochistan). There were no casualties.",2024-08
2024-08-14,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Khuzdar,Khuzdar,27.7383,66.6433,0,Civilian targeting,"On 14 August 2024, BLA militants hurled a hand grenade towards the residence of a claimed 'death squad' personnel (coded as pro-government militia) in Khuzdar area (Khuzdar, Balochistan). The individual remained unhurt. There were no casualties.",2024-08
2024-08-14,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Nushki,Nushki,29.5521,66.0228,1,Civilian targeting,"On 14 August 2024, BLA militants hurled two grenades near a hotel close to Quetta Railway Hall in Nushki city (Nushki, Balochistan) during 'independence day' celebrations. The attack was part of a series of actions by Baloch militants aimed at discouraging people from celebrating Pakistan's 'Independence Day'. One child was killed, and twelve others, including six children were injured in the two explosions.",2024-08
2024-08-14,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Nushki,Nushki,29.5521,66.0228,0,,"On 14 August 2024, a large number of BLA militants attacked military personnel at a military camp in near the Gharibabad bypass in Zorabad area of Nushki district (Nushki, Balochistan) using rockets and other heavy weapons. BLA claim two military personnel were wounded in the attack. 2 injured and no fatalities.",2024-08
2024-08-14,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 14 August 2024, BLA militants hurled a hand grenade towards a military check post in Akhtarabad area of Quetta city (Quetta, Balochistan). Military forces later surrounded the area. BLA claim two military personnel were wounded in the explosion. 2 injured and no fatalities.",2024-08
2024-08-14,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,,Rebel group only,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 14 August 2024, BLA militants fired four rounds of grenades using a launcher at the Quetta Secretariat building in Quetta city (Quetta, Balochistan). There were no casualties.",2024-08
2024-08-14,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Killa Abdullah,Chaman,30.8944,66.4681,0,,"On 14 August 2024, unidentified assailants (coded as Baloch Separatists) fired at a police checkpost on Taj Road in Chaman city (Killa Abdullah, Balochistan). 2 persons, including 1 policeman, were injured.",2024-08
2024-08-14,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Gajar,27.1142,65.5629,3,,"On 14 August 2024, BLF militants attacked military checkpoints in Bondi, Oghar, Malsh-e-Band, and Thank areas of Mashkai tehsil (Awaran, Balochistan). BLF claim three military personnel were killed and four others were wounded. 3 fatalities and 4 injured.",2024-08
2024-08-13,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kalat,Mangochar,29.3479,66.6365,3,,"On 13 August 2024, BLA militants hurled grenades at a military camp in Mangochar area (Kalat, Balochistan). According to local sources, four explosions were claimed to have been heard. BLA claim three military personnel were killed, while an unspecified number of other personnel were claimed to have been wounded. 3 fatalities.",2024-08
2024-08-13,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Kech,Sariab,26.5607,62.985,2,,"On 13 August 2024, BLF militants attacked an FC outpost in Sariab area (Kech, Balochistan). According to local sources, sounds of explosions and gunfire were heard during the attack. BLF claim two FC personnel were killed and another was wounded. 2 fatalities and 1 injured.",2024-08
2024-08-13,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kharan,Kharan,28.5833,65.4167,0,Civilian targeting,"On 13 August 2024, BLF militants detonated a bicycle-laden IED targeting Akbar Bugti Football Stadium in Kharan district (Kharan, Balochistan) during a football match on occasion for 'independence day' celebrations for 14 August 2024. The attack was part of a series of actions by Baloch militants aimed at discouraging people from celebrating Pakistan's 'Independence Day'. There were no casualties.",2024-08
2024-08-13,2024,Explosions/Remote violence,Shelling/artillery/missile attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,2,Civilian targeting,"On 13 August 2024, BLA militants on motorcycles fired three grenades using launchers targeting Ayub Stadium in Killi Deba area in Quetta city (Quetta, Balochistan) where a bodybuilding competition was taking place on occasion of 'independence day' celebrations for 14 August 2024. One rocket hit the parking lot, while the remaining two respectively fell inside two houses. Two persons were killed and three others were wounded in the attack. The attack was part of a series of actions by Baloch militants aimed at discouraging people from celebrating Pakistan's 'Independence Day'. 2 fatalities and 3 injured.",2024-08
2024-08-13,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Malar,26.3373,64.9193,1,,"On 13 August 2024, BLF militants attacked a military camp in Malar area (Awaran, Balochistan) from two sides simultaneously using rockets and other heavy weapons. One bystander (teacher) was killed in the clash. BLF and BNM claim military forces opened retaliatory fire on Baloch persons after the attack, resulting in the death of the school teacher. 1 fatality.",2024-08
2024-08-13,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Panjgur,Panjgur,26.9817,64.1166,0,,"On 13 August 2024, BLF militants hurled a hand grenade targeting an FC camp at Kalam Chowk in Panjgur area (Panjgur, Balochistan). BLF claim two personnel were wounded. Reliable sources, including Dawn, claim there were no fatalities.",2024-08
2024-08-12,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Awaran,26.4567,65.2314,1,,"On 12 August 2024, BLF militants claimed to have shot dead a military personnel in a sniper attack in Nondara Dal area of Awaran district (Awaran, Balochistan). Militants later destroyed the surveillance drone camera launched by military personnel. BLF claim one military personnel was killed. 1 fatality.",2024-08
2024-08-12,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kalat,Mangochar,29.3479,66.6365,0,Civilian targeting,"On 12 August 2024, BLA militants opened fire at a trawler vehicle carrying goods for the government-owned Saindak (copper-gold) project in Mangochar area (Kalat, Balochistan). Militants burst the tires of the vehicle traveling from Karachi and also wounded the driver of the vehicle. No fatalities and 1 injured.",2024-08
2024-08-12,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,1,Civilian targeting,"On 12 August 2024, BLA militants on motorcycle hurled a grenade in Liaquat Bazaar in Chalo-Bohri area of Satellite Town locality in Quetta city (Quetta, Balochistan). One woman was killed and six others were wounded in the explosion. Early sources claimed the grenade attack attempted to target a police vehicle in the vicinity, however, BLA have claimed the attack was targeting a stall of Pakistani flags being sold in the market prior to 'Independence Day' on 14 August 2024. The police vehicle was not damaged. 1 fatality and 6 injured.",2024-08
2024-08-12,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,0,Civilian targeting,"On 12 August 2024, BLA militants on motorcycle hurled a hand grenade and attacked a Government Girls College hosting 'independence day' celebrations on Munir Mengal Road in Sariab Mills area in Quetta city (Quetta, Balochistan). The explosion damaged the windows of the college and nearby buildings, and wounded the watchman. BLA claim that the attack was intentionally timed to avoid casualties, serving instead as a warning. The attack was part of a series of actions by Baloch militants aimed at discouraging people from celebrating Pakistan's 'Independence Day'. 1 injured.",2024-08
2024-08-12,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Mastung,Khad Koocha,29.6684,66.7797,0,,"On 12 August 2024, police personnel and a large number of militants (coded as Baloch Separatists) clashed after militants had blocked the Karachi-Quetta Highway in Khad Koocha area (Mastung, Balochistan) after setting up snap-check points. Police and militants are suspected to have clashed after militants opened fire and killed the deputy district commissioner in his vehicle (coded separately). Several people are claimed to have been injured. Casualties unknown.",2024-08
2024-08-12,2024,Violence against civilians,Attack,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Mastung,Khad Koocha,29.6684,66.7797,1,Civilian targeting,"On 12 August 2024, around 15 unidentified assailants (coded as Baloch Separatists) opened fire and killed Panjgur's Deputy District Commissioner and wounded four others, including a municipal committee chairman, inside their private vehicle at a snap-check point set up by militants on Quetta-Karachi Highway in Khad Koocha area (Mastung, Balochistan). Varying reports indicate the involvement of BLA or BLF militants. The attackers stopped the vehicle, and when the driver attempted to accelerate after refusing to halt, the assailants ambushed the vehicle and opened fire. Militants and police also clashed on the road after the incident (coded separately). 1 fatality and 4 injured.",2024-08
2024-08-12,2024,Explosions/Remote violence,Shelling/artillery/missile attack,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Turbat,26.0001,63.0527,0,,"On 12 August 2024, BLA militants fired shells through a grenade launcher targeting a military post on Airport Road in Turbat city (Kech, Balochistan). Casualties unknown.",2024-08
2024-08-11,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Hirok,26.0138,63.5908,0,,"On 11 August 2024, BLF militants attacked a military security post in Hirok area (Kech, Balochistan). According to regional sources, sounds of heavy firing and explosions were suspected to have been heard. Casualties unknown.",2024-08
2024-08-11,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Khuzdar,Khuzdar,27.7383,66.6433,0,,"On 11 August 2024, BLA militants hurled hand grenades at two FC patrol team personnel in Bazgir area of Khuzdar town (Khuzdar, Balochistan). FC personnel subsequently returned fire. BLA militants claim the attack was intended to deter people from celebrating 'Pakistan independence day' on 14 August 2024. There were no casualties.",2024-08
2024-08-11,2024,Explosions/Remote violence,Grenade,BLF: Baloch Liberation Front,,Rebel group only,Balochistan,Mastung,Mastung,29.7945,66.7206,0,,"On 11 August 2024, BLF militants hurled a hand grenade targeting the residence of a Major-ranked military officer near RCD Highway in Mastung city (Mastung, Balochistan). No fatalities.",2024-08
2024-08-11,2024,Violence against civilians,Abduction/forced disappearance,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Mastung,Mastung,29.7945,66.7206,0,Civilian targeting,"On 11 August 2024, BLA militants abducted an individual claimed to belong to state-backed 'death squads' (coded as pro-government militia) from Isplingi Maro area in Mastung district (Mastung, Balochistan). BLA claim the individual had confessed to working with military forces and participating in forced disappearances of Baloch persons.",2024-08
2024-08-11,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 11 August 2024, BLA militants hurled a hand grenade at the police station in Gwalmandi Chowk in Quetta city (Quetta, Balochistan), wounding 1 police personnel and 1 passer-by. The militants later fled the scene. BLA militants on motorcycle also hurled a hand grenade at an FC check post and wounded three FC personnel on Sariab Road. 5 injured and no fatalities.",2024-08
2024-08-11,2024,Explosions/Remote violence,Shelling/artillery/missile attack,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Turbat,26.0001,63.0527,0,,"On 11 August 2024, BLF militants fired a rocket targeting a military check post near Education Square in Turbat city (Kech, Balochistan). Casualties unknown.",2024-08
2024-08-11,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Kech,Turbat,26.0001,63.0527,0,,"On 11 August 2024, BLF militants hurled a hand grenade at an FC Makran Scout camp in Absar area of Turbat city (Kech, Balochistan). Two FC personnel were wounded in the explosion. 2 injured and no fatalities.",2024-08
2024-08-11,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Kolwa,26.0349,64.2883,3,,"On 11 August 2024, BLF militants opened fire at a military check post near Kudde Hotel in Kolwa area (Kech, Balochistan) using heavy weapons. BLF claim three personnel were killed and two others were injured. 3 fatalities and 2 wounded.",2024-08
2024-08-10,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Awaran,Awaran,26.4567,65.2314,0,Civilian targeting,"On 10 August 2024, three pedestrians were injured when a motorcycle-laden IED planted by militants (coded as Baloch Separatists) parked inside a market was detonated remotely in Awaran town (Awaran, Balochistan). The target of the attack is suspected to have been a police vehicle intended to pass through the area at the time of detonation. 3 wounded and no fatalities.",2024-08
2024-08-10,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kech,Zamuran,26.4211,62.8977,0,Civilian targeting,"On 10 August 2024, BLA militants detonated an IED destroying a tractor belonging to a Frontier Works Organization (military construction company) near a military camp in Zamuran area (Kech, Balochistan). No casualties.",2024-08
2024-08-10,2024,Explosions/Remote violence,Shelling/artillery/missile attack,BLF: Baloch Liberation Front,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Kharan,Kharan,28.5833,65.4167,0,,"On 10 August 2024, BLF militants fired a rocket on an FC camp between Latar and Shirozai areas in Kharan district (Kharan, Balochistan). FC forces later surrounded the area of the attack. BLF militants claim the attack was intended to deter people from celebrating 'Pakistan independence day' on 14 August 2024. Casualties unknown.",2024-08
2024-08-10,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Kolwa,26.0349,64.2883,8,,"On 10 August 2024, BLF militants attacked a military camp in Dundar area in Kolwa tehsil (Kech, Balochistan) simultaneously from two sides using automatic weapons. BLF claim six military personnel were killed and two others were wounded. Military forces are also claimed to have fired indiscriminate shelling in Dundar area as part of these clashes and kill a Baloch girl. BLF militants also attacked a military camp in Geshkoor area of Kolwa tehsil (Kech, Balochistan) on the same day using automatic weapons, claiming one military personnel was killed and another was wounded. 8 fatality in total and 1 injured.",2024-08
2024-08-08,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,0,Civilian targeting,"On 8 August 2024, BLA militants hurled two grenades targeting an 'independence day' (14 August) event organized at Sardar Bahadur Khan Women's University on Brewery Road in Quetta city (Quetta, Balochistan). Militants claim the attack was carried out because the event was held under the auspices of what they described as the 'occupying' military forces. No fatalities.",2024-08
2024-08-08,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kachhi,Mach,29.8683,67.3224,0,,"On 8 August 2024, suspected BLA militants on motorcycle lobbed a hand grenade on the roof of Mach Police Station (Kachhi, Balochistan). There were no casualties.",2024-08
2024-08-08,2024,Violence against civilians,Attack,BLF: Baloch Liberation Front,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Awaran,Jhal Jao,26.3031,65.5812,1,Civilian targeting,"On 8 August 2024, BLF militants shot and killed a former Baloch Separatist and claimed 'death squad' personnel in Jhal Jao area of Awaran district (Awaran, Balochistan). The individual is claimed to have surrendered to the government in 2018. Baloch militants have previously targeted former Baloch militants who surrendered to the government.",2024-08
2024-08-05,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Harnai,Harnai,30.1007,67.9382,5,Civilian targeting,"Around 5 August 2024 (as reported), the bodies of 5 persons were found in Zarghoon Ghar area of Harnai district (Balochistan). They are suspected to be the bodies of Punjabi civilians abducted by BLA militants near Quetta city on 20 June 2024 (coded separately).",2024-08
2024-08-03,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Nushki,Nushki,29.5521,66.0228,0,,"On 3 August 2024, suspected BLA militants attacked an FC camp near Nushki bus stand in Nushki area (Nushki, Balochistan). Sources claim five explosions were heard in quick succession from the area. No fatalities.",2024-08
2024-08-03,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Kolwa,26.0349,64.2883,1,,"On 3 August 2024, BLF militants opened fire on a military camp in Kolwa area (Kech, Balochistan) using assault weapons. BLF claim one military personnel was killed in the attack. 1 fatality.",2024-08
2024-08-02,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),,Rebel group only,Balochistan,Sibi,Sibi,29.5511,67.8322,0,,"Around 2 August 2024 (as reported), unidentified assailants (coded as Baloch Separatists) threw a grenade at a Public Health Engineering government office in Sibi town (Balochistan). 1 vehicle was damaged. No fatalities.",2024-08
2024-07-27,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Gajar,27.1142,65.5629,1,,"On 27 July 2024, BLA militants attacked a military camp in Nokjo area of Mashkay tehsil (coded as Gajar (Awaran, Balochistan) using grenade launchers and assault weapons. BLA claim one military personnel was killed and two others were wounded when militants shelled inside the camp. 2 wounded and 1 fatality.",2024-07
2024-07-26,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Militia (Pro-Government),Rebel group-Political militia,Balochistan,Panjgur,Panjgur,26.9817,64.1166,2,,"On 26 July 2024, BLF militants shot dead two and wounded another 'death squad' personnel (coded as pro-government militia) in Chitkan Gharibabad area of Panjgur district (Panjgur, Balochistan). BLF claim the 'death squad' personnel belonged to Farid Group, associated with military forces. 2 fatalities and 1 wounded.",2024-07
2024-07-25,2024,Violence against civilians,Abduction/forced disappearance,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Harnai,Harnai,30.1007,67.9382,0,Civilian targeting,"On 25 July 2024, armed assailants (coded as Baloch Separatists) abducted a coal mine contractor from Tor Ghar area in Harnai district (Harnai, Balochistan). His whereabouts remain unknown.",2024-07
